"log_id","badge_uid","member_id","access_time","access_decision","denial_reason"
"174","B-68F94CC8AF409","8","2025-10-24 14:09:26+02","denied","Jour non autorisé"
"175","B-68F93720ACF83","6","2025-10-24 14:09:30+02","denied","Abonnement expiré ou pas encore actif"
"176","B-68F93720ACF83","6","2025-10-24 14:09:43+02","denied","Abonnement expiré ou pas encore actif"
"177","B-68F93720ACF83","6","2025-10-24 14:09:47+02","denied","Abonnement expiré ou pas encore actif"
"178","B-68F92FCC766BC","5","2025-10-24 14:09:52+02","denied","Abonnement expiré ou pas encore actif"
"179","UNKNOWN","7","2025-10-24 14:09:59+02","denied","Aucun badge assigné"
"181","B-68F96B4B05AE3","13","2025-10-24 14:19:54+02","denied","Aucun abonnement actif"
"182","B-68F96967BBEE1","12","2025-10-24 14:19:57+02","denied","Aucun abonnement actif"
"183","B-68F9651092F50","9","2025-10-24 14:19:59+02","denied","Aucun abonnement actif"
"185","B-68FA72FC5164C","3","2025-10-24 14:20:06+02","denied","Aucun abonnement actif"
"187","B-68F96B4B05AE3","13","2025-10-24 15:21:02+02","denied","Aucun abonnement actif"
"188","B-68FA72FC5164C","3","2025-10-24 16:06:04+02","denied","Abonnement expiré ou pas encore actif"
"190","B-68F92FCC766BC","5","2025-10-24 16:06:11+02","denied","Aucun abonnement actif"
"191","B-68F93720ACF83","6","2025-10-24 16:06:14+02","denied","Aucun abonnement actif"
"192","UNKNOWN","7","2025-10-24 16:06:16+02","denied","Aucun badge assigné"
"193","B-68F94CC8AF409","8","2025-10-24 16:06:19+02","denied","Aucun abonnement actif"
"194","B-68F9651092F50","9","2025-10-24 16:06:21+02","denied","Aucun abonnement actif"
"195","B-68F96967BBEE1","12","2025-10-24 16:06:23+02","denied","Aucun abonnement actif"
"196","B-68F96B4B05AE3","13","2025-10-24 16:06:25+02","denied","Aucun abonnement actif"
"199","B-68FA72FC5164C","3","2025-10-24 17:52:09+02","denied","Abonnement expiré ou pas encore actif"
"200","B-68FA72FC5164C","3","2025-10-24 17:53:15+02","denied","Abonnement expiré ou pas encore actif"
"201","B-68FA72FC5164C","3","2025-10-24 18:06:18+02","denied","Abonnement expiré ou pas encore actif"
"202","B-68FA72FC5164C","3","2025-10-24 18:07:02+02","denied","Abonnement expiré ou pas encore actif"
"203","B-68FA72FC5164C","3","2025-10-24 18:07:20+02","denied","Abonnement expiré ou pas encore actif"
"204","B-68FA72FC5164C","3","2025-10-24 18:08:39+02","granted",NULL
"206","UNKNOWN","7","2025-10-24 18:34:13+02","denied","Aucun badge assigné"
"207","B-68FA72FC5164C","3","2025-10-24 18:42:45+02","denied","Abonnement expiré ou pas encore actif"
"208","B-68FA72FC5164C","3","2025-10-24 18:43:30+02","granted",NULL
"209","B-68FA72FC5164C","3","2025-10-24 18:44:33+02","granted",NULL
"210","B-68F96B4B05AE3","13","2025-10-24 19:10:29+02","denied","Abonnement expiré ou pas encore actif"
"212","UNKNOWN","7","2025-10-24 19:10:34+02","denied","Aucun badge assigné"
"213","B-68FA72FC5164C","3","2025-10-24 19:11:53+02","denied","Abonnement expiré ou pas encore actif"
"215","B-68F96967BBEE1","12","2025-10-24 19:29:54+02","denied","Abonnement expiré ou pas encore actif"
"217","UNKNOWN","7","2025-10-24 19:30:02+02","denied","Aucun badge assigné"
"218","B-68FA72FC5164C","3","2025-10-24 19:30:10+02","denied","Abonnement expiré ou pas encore actif"
"219","UNKNOWN","2","2025-10-24 19:30:15+02","denied","Aucun badge assigné"
"220","UNKNOWN","1","2025-10-24 19:30:16+02","denied","Aucun badge assigné"
"221","UNKNOWN","2","2025-10-24 19:30:18+02","denied","Aucun badge assigné"
"222","UNKNOWN","1","2025-10-24 19:30:20+02","denied","Aucun badge assigné"
"223","B-68F96967BBEE1","12","2025-10-24 19:43:52+02","denied","Abonnement expiré ou pas encore actif"
"226","B-68FA72FC5164C","3","2025-10-24 20:54:48+02","denied","Abonnement expiré ou pas encore actif"
"228","B-68F92FCC766BC","5","2025-10-24 20:54:54+02","denied","Abonnement expiré ou pas encore actif"
"229","B-68F93720ACF83","6","2025-10-24 20:54:56+02","denied","Abonnement expiré ou pas encore actif"
"230","B-68FA72FC5164C","3","2025-10-24 21:00:06+02","granted",NULL
"231","B-68FA72FC5164C","3","2025-10-24 21:00:10+02","granted",NULL
"232","UID-3001","17","2025-10-25 00:14:23+02","granted",NULL
"233","UNKNOWN","6","2025-10-25 00:44:28+02","denied","Aucun badge assigné"
"234","B-68FA72FC5164C","3","2025-10-25 00:44:49+02","granted",NULL
"235","B-68F94CC8AF409","8","2025-10-25 00:45:00+02","denied","Abonnement expiré ou pas encore actif"
"236","UID-4001","18","2025-10-25 11:40:19+02","denied","Jour non autorisé"
"237","UID-4001","18","2025-10-25 11:40:24+02","denied","Jour non autorisé"
"238","UID-4005","23","2025-10-26 01:21:52+02","denied","Abonnement expiré ou pas encore actif"
"241","B-68F96967BBEE1","12","2025-10-26 15:58:22+01","denied","Abonnement expiré ou pas encore actif"
"243","UNKNOWN","6","2025-10-26 15:59:37+01","denied","Aucun badge assigné"
